Study-object,Files,Method,Files,Method,LevenDistance
1,86,mcd.txt-1,80,gcd.txt,30
1,86,mcd.txt-1,12,gcd.txt,41
1,86,mcd.txt-1,67,main.txt,82
1,86,mcd.txt-1,57,main.txt,73
1,86,mcd.txt-1,50,main.txt,80
1,86,mcd.txt-1,46,ispot2.txt,37
1,86,mcd.txt-1,12,main.txt,74
1,86,mcd.txt-1,41,betterpower.txt,41
1,86,mcd.txt-1,24,euclid.txt,55
1,86,mcd.txt-1,33,gen.txt,50
1,86,mcd.txt-1,64,t.txt,52
1,86,mcd.txt-1,45,ispow2.txt,42
1,86,mcd.txt-1,41,main.txt,83
1,86,mcd.txt-1,27,desc.txt,39
1,86,mcd.txt-1,40,main.txt,87
1,86,mcd.txt-1,94,read.txt,68
1,86,mcd.txt-1,23,main.txt,72
1,86,mcd.txt-1,59,gcd.txt,42
1,86,mcd.txt-1,10,main.txt,78
1,26,gcd.txt-1,9,shortest.txt,43
1,26,gcd.txt-1,47,check.txt,58
1,26,gcd.txt-1,30,main.txt,87
1,26,gcd.txt-1,98,main.txt,87
1,26,gcd.txt-1,17,gcd.txt,22
1,26,gcd.txt-1,34,main.txt,85
1,26,gcd.txt-1,65,main.txt,82
1,26,gcd.txt-1,66,main.txt,84
1,26,gcd.txt-1,38,g.txt,47
1,26,gcd.txt-1,80,main.txt,87
1,26,gcd.txt-1,75,powr.txt,62
1,26,gcd.txt-1,11,main.txt,83
1,26,gcd.txt-1,94,main.txt,60
1,26,gcd.txt-1,80,gcd.txt,38
1,26,gcd.txt-1,12,gcd.txt,24
1,26,gcd.txt-1,67,main.txt,88
1,26,gcd.txt-1,57,main.txt,82
1,26,gcd.txt-1,50,main.txt,87
1,26,gcd.txt-1,46,ispot2.txt,63
1,26,gcd.txt-1,12,main.txt,83
1,26,gcd.txt-1,41,betterpower.txt,56
1,26,gcd.txt-1,24,euclid.txt,49
1,26,gcd.txt-1,33,gen.txt,72
1,26,gcd.txt-1,64,t.txt,67
1,26,gcd.txt-1,45,ispow2.txt,63
1,26,gcd.txt-1,41,main.txt,89
1,26,gcd.txt-1,27,desc.txt,45
1,26,gcd.txt-1,40,main.txt,92
1,26,gcd.txt-1,94,read.txt,76
1,26,gcd.txt-1,23,main.txt,82
1,26,gcd.txt-1,59,gcd.txt,41
1,26,gcd.txt-1,10,main.txt,85
1,26,gcd.txt-1,86,mcd.txt,52
1,8,gcd.txt-1,9,shortest.txt,41
1,8,gcd.txt-1,47,check.txt,40
1,8,gcd.txt-1,30,main.txt,83
1,8,gcd.txt-1,98,main.txt,82
1,8,gcd.txt-1,17,gcd.txt,40
1,8,gcd.txt-1,34,main.txt,80
1,8,gcd.txt-1,65,main.txt,75
1,8,gcd.txt-1,66,main.txt,78
1,8,gcd.txt-1,38,g.txt,33
1,8,gcd.txt-1,80,main.txt,83
1,8,gcd.txt-1,75,powr.txt,44
1,8,gcd.txt-1,11,main.txt,76
1,8,gcd.txt-1,94,main.txt,61
1,8,gcd.txt-1,80,gcd.txt,12
1,8,gcd.txt-1,12,gcd.txt,37
1,8,gcd.txt-1,67,main.txt,84
1,8,gcd.txt-1,57,main.txt,75
1,8,gcd.txt-1,50,main.txt,82
1,8,gcd.txt-1,46,ispot2.txt,47
1,8,gcd.txt-1,12,main.txt,77
1,8,gcd.txt-1,41,betterpower.txt,36
1,8,gcd.txt-1,24,euclid.txt,60
1,8,gcd.txt-1,33,gen.txt,58
1,8,gcd.txt-1,64,t.txt,53
1,8,gcd.txt-1,45,ispow2.txt,45
1,8,gcd.txt-1,41,main.txt,85
1,8,gcd.txt-1,27,desc.txt,22
1,8,gcd.txt-1,40,main.txt,89
1,8,gcd.txt-1,94,read.txt,65
1,8,gcd.txt-1,23,main.txt,74
1,8,gcd.txt-1,59,gcd.txt,41
1,8,gcd.txt-1,10,main.txt,80
1,8,gcd.txt-1,86,mcd.txt,31
1,8,gcd.txt-1,26,gcd.txt,37
1,14,main.txt-1,9,shortest.txt,84
1,14,main.txt-1,47,check.txt,80
1,14,main.txt-1,30,main.txt,42
1,14,main.txt-1,98,main.txt,50
1,14,main.txt-1,17,gcd.txt,86
1,14,main.txt-1,34,main.txt,44
1,14,main.txt-1,65,main.txt,48
1,14,main.txt-1,66,main.txt,55
1,14,main.txt-1,38,g.txt,81
1,14,main.txt-1,80,main.txt,49
1,14,main.txt-1,75,powr.txt,79
1,14,main.txt-1,11,main.txt,43
1,14,main.txt-1,94,main.txt,87
1,14,main.txt-1,80,gcd.txt,83
1,14,main.txt-1,12,gcd.txt,86
1,14,main.txt-1,67,main.txt,51
1,14,main.txt-1,57,main.txt,47
1,14,main.txt-1,50,main.txt,50
1,14,main.txt-1,46,ispot2.txt,78
1,14,main.txt-1,12,main.txt,46
1,14,main.txt-1,41,betterpower.txt,80
1,14,main.txt-1,24,euclid.txt,84
1,14,main.txt-1,33,gen.txt,71
1,14,main.txt-1,64,t.txt,72
1,14,main.txt-1,45,ispow2.txt,77
1,14,main.txt-1,41,main.txt,52
1,14,main.txt-1,27,desc.txt,86
1,14,main.txt-1,40,main.txt,49
1,14,main.txt-1,94,read.txt,70
1,14,main.txt-1,23,main.txt,51
1,14,main.txt-1,59,gcd.txt,83
1,14,main.txt-1,10,main.txt,41
1,14,main.txt-1,86,mcd.txt,83
1,14,main.txt-1,26,gcd.txt,88
1,14,main.txt-1,8,gcd.txt,85
1,58,main.txt-1,9,shortest.txt,80
1,58,main.txt-1,47,check.txt,76
1,58,main.txt-1,30,main.txt,46
1,58,main.txt-1,98,main.txt,50
1,58,main.txt-1,17,gcd.txt,83
1,58,main.txt-1,34,main.txt,47
1,58,main.txt-1,65,main.txt,44
1,58,main.txt-1,66,main.txt,54
